date,rate
1992-01-01,124.8
1992-01-02,124.35
1992-01-03,124.62
1992-01-06,123.35
1992-01-07,124.05
1992-01-08,124.3
1992-01-09,125.8
1992-01-10,126.93
1992-01-13,127.0
1992-01-14,126.88
1992-01-15,128.5
1992-01-16,128.15
1992-01-17,124.1
1992-01-20,123.3
1992-01-21,123.55
1992-01-22,123.3
1992-01-23,123.8
1992-01-24,123.5
1992-01-27,125.2
1992-01-28,125.7
1992-01-29,125.65
1992-01-30,125.7
1992-01-31,125.78
1992-02-03,126.18
1992-02-04,126.15
1992-02-05,125.45
1992-02-06,125.7
1992-02-07,125.31
1992-02-10,126.7
1992-02-11,127.35
1992-02-12,127.4
1992-02-13,127.64
1992-02-14,127.85
1992-02-17,126.93
1992-02-18,127.95
1992-02-19,128.15
1992-02-20,128.5
1992-02-21,128.88
1992-02-24,129.15
1992-02-25,129.75
1992-02-26,129.1
1992-02-27,129.05
1992-02-28,129.45
1992-03-02,129.65
1992-03-03,131.05
1992-03-04,131.55
1992-03-05,131.85
1992-03-06,131.75
1992-03-09,131.85
1992-03-10,132.8
1992-03-11,133.39
1992-03-12,134.15
1992-03-13,133.63
1992-03-16,133.77
1992-03-17,132.75
1992-03-18,132.33
1992-03-19,133.53
1992-03-20,133.8
1992-03-23,133.3
1992-03-24,133.53
1992-03-25,133.45
1992-03-26,133.95
1992-03-27,133.0
1992-03-30,132.8
1992-03-31,132.75
1992-04-01,134.5
1992-04-02,133.7
1992-04-03,133.4
1992-04-06,133.14
1992-04-07,133.28
1992-04-08,132.58
1992-04-09,132.07
1992-04-10,132.85
1992-04-13,133.07
1992-04-14,133.0
1992-04-15,133.38
1992-04-16,133.93
1992-04-17,133.9
1992-04-20,134.3
1992-04-21,134.2
1992-04-22,134.2
1992-04-23,134.55
1992-04-24,134.4
1992-04-27,133.01
1992-04-28,133.1
1992-04-29,133.55
1992-04-30,133.15
1992-05-01,132.55
1992-05-04,133.22
1992-05-05,132.82
1992-05-06,132.22
1992-05-07,132.42
1992-05-08,133.35
1992-05-11,132.9
1992-05-12,130.58
1992-05-13,129.6
1992-05-14,130.4
1992-05-15,129.73
1992-05-18,128.71
1992-05-19,129.2
1992-05-20,129.5
1992-05-21,130.22
1992-05-22,129.15
1992-05-25,129.3
1992-05-26,129.61
1992-05-27,130.07
1992-05-28,129.47
1992-05-29,127.65
1992-06-01,126.95
1992-06-02,127.63
1992-06-03,127.51
1992-06-04,127.18
1992-06-05,126.75
1992-06-08,127.2
1992-06-09,127.5
1992-06-10,127.45
1992-06-11,126.4
1992-06-12,126.6
1992-06-15,126.8
1992-06-16,126.46
1992-06-17,127.3
1992-06-18,126.82
1992-06-19,127.01
1992-06-22,127.06
1992-06-23,127.25
1992-06-24,126.32
1992-06-25,125.1
1992-06-26,125.65
1992-06-29,125.64
1992-06-30,125.55
1992-07-01,125.35
1992-07-02,124.43
1992-07-03,124.74
1992-07-06,124.22
1992-07-07,124.0
1992-07-08,124.72
1992-07-09,125.58
1992-07-10,125.25
1992-07-13,124.81
1992-07-14,125.15
1992-07-15,125.08
1992-07-16,125.39
1992-07-17,124.3
1992-07-20,125.28
1992-07-21,125.2
1992-07-22,126.58
1992-07-23,126.7
1992-07-24,128.1
1992-07-27,127.41
1992-07-28,127.4
1992-07-29,127.88
1992-07-30,127.54
